faithfulness,answer_relevancy,context_precision,context_recall
0.9999,0.9999,0.95,1.0
1.0,1.0,1.0,1.0
0.95,1.0,0.75,0.25
0.0,0.5,0.2,0.0
1.0,1.0,1.0,1.0
0.0,0.0,0.125,0.0
0.0,0.0,0.0,0.0
0.0,0.75,0.0,0.0
0.95,1.0,0.2,1.0
0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0
1.0,1.0,0.23529,0.5
1.0,1.0,0.17241,1.0
0.75,1.0,0.0,0.25
0.7,0.8,0.3,0.2
,,,
,,,
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.95,0.8,0.6,0.6
0.99999,0.99999,0.0,0.0
0.9,0.95,0.8,0.5
0.9,1.0,0.7,0.7
0.95,1.0,0.8,0.8
0.0,0.75,0.0,0.75
0.95,1.0,0.75,0.75
0.0,1.0,0.0,1.0
1.0,1.0,0.27273,1.0
1.0,1.0,0.9,1.0
0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0
0.75,0.8,0.6,0.5
1.0,1.0,0.11765,1.0
1.0,1.0,1.0,1.0
0.75,1.0,0.25,0.5
0.95,1.0,0.95,1.0
1.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.5,1.0,0.25,0.5
0.95,1.0,0.125,1.0
1.0,1.0,1.0,1.0
0.95,1.0,0.9,1.0
0.9,1.0,0.3,0.6
0.5,0.6,0.4,0.4
1.0,1.0,1.0,1.0
1.0,1.0,0.0,0.0
1.0,1.0,0.44444,1.0
1.0,1.0,0.25,1.0
0.95,1.0,0.4,0.5
1.0,1.0,1.0,1.0
1.0,1.0,0.92857,1.0
0.0,0.4,0.0,0.0
1.0,1.0,0.92857,1.0
0.0,0.2,0.2,0.0
0.0,0.2,0.0,0.0
1.0,1.0,0.125,1.0
1.0,1.0,0.0,0.0
0.75,0.6,0.7,0.25
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
0.95,1.0,0.9,1.0
0.95,1.0,0.85,1.0
0.95,1.0,0.6,0.5
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
0.99999,1.0,0.25,1.0
0.0,0.0,0.0,1.0
1.0,1.0,0.6,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,0.33333,0.25
0.0,0.0,0.0,0.0
0.99995,0.99995,0.99995,0.0
0.0,0.0,0.0,0.0
0.95,1.0,0.75,1.0
0.5,1.0,0.15,0.25
0.99999,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,0.28571,1.0
0.0,0.0,0.0,0.0
0.8,1.0,0.53333,1.0
0.65,0.6,0.5,0.4
0.0,0.0,0.0,0.0
0.9,0.7,0.9,0.25
1.0,1.0,0.25,1.0
1.0,1.0,1.0,0.69231
1.0,1.0,1.0,1.0
0.9,1.0,0.25,1.0
0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0
1.0,1.0,0.0,0.0
1.0,1.0,0.8,1.0
0.0,0.0,0.0,0.0
0.75,0.75,0.0,0.0
1.0,1.0,1.0,1.0
0.95,1.0,0.8,1.0
0.55,1.0,0.25,0.0
0.95,0.95,0.85,0.7
0.75,1.0,0.3,0.75
0.6,0.8,0.25,0.3
0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0
0.99999,0.99999,0.0,0.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,0.19048,1.0
