Question,Answer
When did trench warfare become archetypically associated with?,World War I (1914-1918)
What type of land warfare is characterized by occupied lines comprising military trenches?,Trench warfare
What was the result of a revolution in firepower not being matched by advances in mobility?,Trench warfare proliferated.
What area between opposing trench lines was fully exposed to artillery fire from both sides?,No man's land.
When did Roman legions entrench camps nightly when on the move?,In the presence of an enemy.
Who suggested digging a trench to defend Medina in 627 AD?,Salman the Persian
What was the date when French soldiers captured the left bank of the Po river?,"May 12, 1640."
How many times did the French soldiers' advance on trenches get repelled?,Twice.
Where did the defenders flee to seek sanctuary?,The Santa Maria al Monte dei Cappuccini church in Turin.
How many times did the French break through before succeeding?,On the third attempt.
What was the purpose of field works in early modern warfare?,To block possible lines of advance.
In which year were the Lines of Torres Vedras built?,1809 and 1810.
When did the Māori develop elaborate trench and bunker systems?,1845-1872
What was often considered to be the most sophisticated pā by historians?,Ruapekapeka
When did James Belich write his book on the New Zealand Wars?,1980s
What is the name of the historian who criticized James Belich's claim about Māori inventing trench warfare?,Gavin McLean
Who did the Māori not invent trench warfare first?,Not specified (but implied to be someone else)
What is something that the Māori did invent without any offshore aid?,Trench-based defences
What was the period of time during which trench warfare first appeared?,The Crimean War (1853-1856)
Which war saw the first use by the Union Army of the rapid-fire Gatling gun?,The American Civil War (1864)
What happened to the range and rate of fire of rifled small-arms by 1914?,It increased dramatically.
Why did attacks across open ground become even more dangerous after the introduction of rapid-firing artillery?,Because high explosive fragmentation rounds were introduced.
"What is being referred to as needing a ""revolution""?",Mobility.
Is this statement referring to a situation before or after the mentioned revolution?,Before.
What was the tactical doctrine of the French army?,The attack with speed and surprise.
Which army relied heavily on howitzers and machine guns?,The German army.
What was a standard practice by the start of WWI?,Digging-in when defending a position.
What was the preferred method of attack against an entrenched enemy?,An outflanking operation.
What type of attacks were futile on the Western Front in 1914?,Mass infantry assaults
What decided the outcome of the stalemated struggle between equals on the Western Front by 1915?,Attrition
When did trench warfare prevail on the Western Front?,Until the Germans launched their Spring Offensive on 21 March 1918.
"Where else was trench warfare found, besides the Western Front?",In Italy and at Gallipoli.
What was a major challenge faced by armies during World War I due to the heavy use of artillery?,Ammunition expenditure.
How did armies transport large quantities over long distances in WWI?,By using horses and carts.
What was used to defend trenches better than ever before?,"Steel, concrete, and barbed wire."
How were trenches usually dug in relation to the surface of the earth?,Far below the surface.
What hindered the German lines in France?,Unsuccessful assaults and a gradual blockade by sea.
"Where did fighting in World War I take place, according to the text?",In trenches and dugouts.
What was the original doctrine regarding World War I trenches?,The doctrine stated that trenches should be packed with men fighting shoulder to shoulder.
What were the defenders of frontline trenches doing every night during World War I?,They were repairing and improving barbed wire strung in front of the trenches.
How deep did a well-developed trench have to be?,At least 2.5 m (8 ft)
Why was the trench designed to be this depth?,To allow men to walk upright and still be protected
What is the most efficient way to dig a trench?,Entrenching
How many men could work on a trench at a time using the sapping method?,One or two
How many men were required to complete 250 meters (270 yards) of front-line trench system in 6 hours at night?,450
What was the main concern for maintaining a newly built trench after its construction?,Weather or shelling
What was the typical size of a group of trenchmen?,Four
Why did trenchmen typically abandon their post if they were attacked while digging?,To seek safety
How many trained trenchmen were available during the war?,"Around 1,100"
